"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6112","should login with valid credentials","","Wed Jul 23 21:27:18 IST 2025","passed","Wed Jul 23 21:27:24 IST 2025","","My Login application","",""
"","1968","should not login with invalid credentials","","Wed Jul 23 21:27:24 IST 2025","passed","Wed Jul 23 21:27:26 IST 2025","","My Login application","",""
